date_soccer,score_soccer,match_soccer,date_base,score_base,match_base,date_basket,score_basket,match_basket
,,,08-20,52,5,01-25,162,1
,,,08-21,45,5,01-26,180,1
,,,08-22,24,3,01-27,166,1
,,,08-23,53,5,01-28,160,1
,,,08-24,18,2,01-29,154,1
,,,08-25,62,5,01-30,465,3
,,,08-26,54,5,01-31,648,4
,,,08-27,50,5,02-01,187,1
,,,08-28,57,4,02-02,148,1
,,,08-29,39,4,02-03,215,1
,,,08-30,64,7,02-04,149,1
,,,09-01,48,5,02-05,194,1
,,,09-02,10,1,02-06,455,3
,,,09-03,58,5,02-07,640,4
,,,09-04,84,7,02-08,171,1
,,,09-05,24,3,02-09,184,1
,,,09-06,53,5,02-10,160,1
,,,09-07,18,1,02-11,693,4
,,,09-08,66,5,02-24,195,1
,,,09-09,50,5,02-25,140,1
,,,09-10,64,5,02-26,153,1
,,,09-11,43,4,02-27,484,3
,,,09-12,32,5,02-28,470,3
,,,09-13,43,5,03-01,511,3
,,,09-15,58,5,03-02,181,1
,,,09-16,64,5,03-03,166,1
,,,09-17,37,5,03-04,160,1
,,,09-18,51,5,03-05,163,1
,,,09-19,49,5,03-06,488,3
,,,09-20,74,6,03-07,630,4
,,,09-22,30,5,03-08,199,1
,,,09-23,63,5,03-09,139,1
,,,09-24,47,5,03-10,125,1
,,,09-25,50,5,03-11,177,1
,,,09-26,51,5,03-12,157,1
,,,09-27,51,6,03-13,485,3
,,,09-29,47,5,03-14,666,4
,,,09-30,46,5,03-15,154,1
,,,10-01,50,5,03-16,172,1
,,,10-02,56,5,03-17,192,1
,,,10-03,80,7,03-18,177,1
,,,10-04,59,5,03-19,181,1
,,,10-06,45,5,03-20,467,3
,,,10-07,50,6,03-21,632,4
,,,10-08,56,5,03-22,163,1
,,,10-09,39,5,03-23,190,1
,,,10-10,47,5,03-24,150,1
,,,10-11,57,5,03-25,149,1
,,,10-13,64,5,03-26,195,1
,,,10-14,28,5,03-27,508,3
,,,10-15,67,5,03-28,704,4
,,,10-16,47,5,03-29,147,1
,,,10-17,58,6,03-30,152,1
,,,10-18,46,5,03-31,164,1
,,,10-20,50,4,04-01,184,1
,,,10-21,17,2,04-02,159,1
,,,10-22,53,3,04-03,515,3
,,,10-23,40,4,04-04,694,4
,,,10-24,27,3,04-06,825,5
,,,10-25,26,2,04-10,148,1
,,,10-27,31,4,04-11,170,1
,,,10-28,28,3,04-12,162,1
,,,10-29,39,3,04-13,160,1
,,,10-30,37,5,04-14,156,1
,,,10-31,7,1,04-15,135,1
,,,11-02,7,1,04-16,164,1
,,,11-04,4,1,,,
,,,11-05,16,1,,,
,,,11-09,5,1,,,
,,,11-10,5,1,,,
,,,11-12,7,1,,,
,,,11-13,2,1,,,
,,,11-17,8,1,,,
,,,11-18,9,1,,,
,,,11-20,13,1,,,
,,,11-21,3,1,,,
,,,11-23,5,1,,,
,,,11-24,6,1,,,
,,,03-21,49,5,,,
,,,03-22,59,5,,,
,,,03-23,38,5,,,
,,,03-25,52,5,,,
,,,03-26,68,5,,,
,,,03-28,34,4,,,
,,,03-29,3,1,,,
,,,03-30,42,5,,,
,,,04-03,7,1,,,
,,,04-04,32,5,,,
,,,04-06,41,5,,,
,,,04-07,59,5,,,
,,,04-08,47,5,,,
,,,04-09,58,5,,,
,,,04-10,65,5,,,
,,,04-11,27,5,,,
,,,04-13,46,5,,,
,,,04-14,35,5,,,
,,,04-15,52,5,,,
,,,04-16,52,5,,,
,,,04-17,54,5,,,
